,城区,位置,房型,面积,朝向,装修,楼层,时间,地标,单价,总价,PerPrice
64,西城区,莲花池东路甲5号院 ,1室1厅,53.8,南,简装,高楼层(共6层),1991年,木樨地,123792,666.0,12.37918215613383
65,西城区,裕中西里 ,1室1厅,51.7,东,精装,顶层(共20层),1990年,马甸,144101,745.0,14.410058027079303
66,西城区,教场口9号院 ,2室1厅,69.57,南西南北,简装,高楼层(共20层),2003年,六铺炕,120742,840.0,12.074169900819319
67,西城区,汽南小区 ,2室1厅,90.8,东南,简装,中楼层(共14层),1996年,木樨地,121146,1100.0,12.114537444933921
68,西城区,龙爪槐胡同 ,2室1厅,67.36,南北,精装,中楼层(共5层),1998年,陶然亭,109858,740.0,10.985748218527316
69,西城区,东经路19号院 ,1室1厅,37.02,东,精装,中楼层(共6层),1985年,陶然亭,140465,520.0,14.046461372231224
70,西城区,外交学院 ,3房间1卫,51.95,南,精装,中楼层(共6层),1988年,阜成门,132436,688.0,13.243503368623676
71,西城区,广安门内大街 ,3室1厅,84.26,南北,简装,低楼层(共15层),1985年,牛街,91384,770.0,9.138381201044385
72,西城区,红莲南里 ,3室1厅,65.13,南北,简装,底层(共6层),1987年,马连道,87518,570.0,8.751727314601567
73,西城区,德外大街乙12号院 ,1室1厅,43.2,南,精装,中楼层(共6层),1983年,六铺炕,151621,655.0,15.162037037037036
74,西城区,白广路6号院 ,2室1厅,57.1,东,精装,中楼层(共6层),1980年,牛街,90193,515.0,9.019264448336251
75,西城区,真武庙 ,2室1厅,47.53,南北,精装,底层(共6层),1976年,木樨地,153588,730.0,15.358720807910792
76,西城区,桦皮厂胡同 ,2室1厅,45.3,东南北,简装,中楼层(共5层),1981年,西直门,123621,560.0,12.362030905077264
77,西城区,北广家园 ,1室1厅,56.77,东南,简装,底层(共17层),2005年,六铺炕,134755,765.0,13.475427162233574
78,西城区,阜成门外北街 ,2室1厅,63.3,南,精装,高楼层(共18层),1991年,阜成门,115324,730.0,11.532385466034755
79,西城区,裕中西里 ,1室1厅,51.5,南,精装,低楼层(共24层),1991年,马甸,147573,760.0,14.757281553398059
80,西城区,荣丰2008 ,1室0厅,25.84,南北,精装,高楼层(共26层),2006年,广安门,139706,361.0,13.970588235294118
81,西城区,宣武门西大街 ,2室1厅,50.65,南,简装,底层(共12层),1979年,金融街,106615,540.0,10.661401776900297
82,西城区,红山世家 ,2室1厅,92.02,东西,精装,中楼层(共26层),2011年,广安门,104869,965.0,10.486850684633776
83,西城区,安德路 ,2室1厅,58.8,南北,精装,底层(共6层),1993年,六铺炕,139116,818.0,13.91156462585034
84,西城区,北欧印象 ,1室1厅,46.1,西,精装,高楼层(共25层),2003年,马连道,92191,425.0,9.219088937093275
85,西城区,双旗杆东里 ,2室1厅,58.7,西南,简装,中楼层(共6层),1984年,马甸,132709,779.0,13.270868824531515
86,西城区,信建里小区 ,1室1厅,45.87,南,简装,高楼层(共6层),1985年,右安门内,113364,520.0,11.336385437104862
87,西城区,塔院胡同12号院 ,3室1厅,77.4,南北,简装,顶层(共6层),1992年,六铺炕,109820,850.0,10.981912144702841
88,西城区,小市口胡同3号院 ,1室1厅,43.7,南,精装,中楼层(共6层),1992年,六铺炕,155607,680.0,15.560640732265446
89,西城区,教子胡同 ,2室1厅,57.89,南北,精装,中楼层(共6层),1980年,牛街,90690,525.0,9.068923821039903
